,filename,errors count,good words count,metric,Levenshtein,
151,chudo_derevo_redmi/IMG_20190715_112953.marked.txt,1,23,0.04167,7,0.291666666666667
160,mdd-redmi1/04.marked.txt,1,20,0.04762,7,0.333333333333333
70,skazki/IMG_20190715_121631.marked.txt,9,40,0.18367,8,0.163265306122449
94,skazki/IMG_20190715_121847.marked.txt,0,35,0,8,0.228571428571429
105,skazki/IMG_20190715_122431.marked.txt,2,34,0.05556,8,0.222222222222222
143,chudo_derevo_redmi/IMG_20190715_113048.marked.txt,2,24,0.07692,8,0.307692307692308
188,mdd_cannon1/03.marked.txt,2,14,0.125,8,0.5
1,skazki/IMG_20190715_121044.marked.txt,16,60,0.21053,9,0.118421052631579
2,skazki/IMG_20190715_121403.marked.txt,3,60,0.04762,9,0.142857142857143
16,skazki/IMG_20190715_121622.marked.txt,4,54,0.06897,9,0.155172413793103
33,skazki/IMG_20190715_121324.marked.txt,0,47,0,9,0.191489361702128
137,chudo_derevo_redmi/IMG_20190715_113026.marked.txt,3,25,0.10714,9,0.321428571428571
145,telefon/IMG_20190715_123145.marked.txt,4,24,0.14286,9,0.321428571428571
161,mdd_cannon1/04.marked.txt,1,20,0.04762,9,0.428571428571429
81,skazki/IMG_20190715_121346.marked.txt,1,38,0.02564,10,0.256410256410256
98,skazki/IMG_20190715_121928.marked.txt,3,35,0.07895,10,0.263157894736842
116,mdd_cannon1/08.marked.txt,1,32,0.0303,10,0.303030303030303
172,ola/IMG_5371.marked.txt,1,17,0.05556,10,0.555555555555556
177,telefon/IMG_20190715_123258.marked.txt,4,16,0.2,10,0.5
205,mdd_cannon1/02.marked.txt,7,8,0.46667,10,0.666666666666667
49,skazki/IMG_20190715_122451.marked.txt,0,45,0,11,0.244444444444444
68,skazki/IMG_20190715_122448.marked.txt,1,41,0.02381,11,0.261904761904762
79,skazki/IMG_20190715_121138.marked.txt,1,38,0.02564,11,0.282051282051282
92,mdd_cannon1/06.marked.txt,2,35,0.05405,11,0.297297297297297
115,mdd-redmi1/09.marked.txt,4,32,0.11111,11,0.305555555555556
0,skazki/IMG_20190715_121240.marked.txt,3,62,0.04615,12,0.184615384615385
157,chudo_derevo_redmi/IMG_20190715_112922.marked.txt,3,20,0.13043,12,0.521739130434783
13,skazki/IMG_20190715_121611.marked.txt,8,56,0.125,13,0.203125
28,skazki/IMG_20190715_121226.marked.txt,3,49,0.05769,13,0.25
34,skazki/IMG_20190715_121716.marked.txt,2,47,0.04082,14,0.285714285714286
57,skazki/IMG_20190715_121740.marked.txt,7,42,0.14286,14,0.285714285714286
89,skazki/IMG_20190715_121205.marked.txt,3,36,0.07692,14,0.358974358974359
162,skazki/IMG_20190715_121019.marked.txt,10,20,0.33333,14,0.466666666666667
109,skazki/IMG_20190715_121517.marked.txt,2,33,0.05714,15,0.428571428571429
142,chudo_derevo_redmi/IMG_20190715_113041.marked.txt,0,24,0,15,0.625
149,telefon/IMG_20190715_123137.marked.txt,4,23,0.14815,15,0.555555555555556
150,telefon/IMG_20190715_123252.marked.txt,3,23,0.11538,15,0.576923076923077
159,chudo_derevo_redmi/IMG_20190715_112958.marked.txt,2,20,0.09091,15,0.681818181818182
88,mdd-redmi1/12.marked.txt,2,37,0.05128,16,0.41025641025641
131,mdd_cannon1/10.marked.txt,3,28,0.09677,16,0.516129032258065
167,telefon/IMG_20190715_123133.marked.txt,3,19,0.13636,16,0.727272727272727
178,telefon/IMG_20190715_123324.marked.txt,3,16,0.15789,16,0.842105263157895
30,skazki/IMG_20190715_122500.marked.txt,5,49,0.09259,18,0.333333333333333
73,skazki/IMG_20190715_122507.marked.txt,4,39,0.09302,18,0.418604651162791
124,skazki/IMG_20190715_122516.marked.txt,2,30,0.0625,18,0.5625
169,skazki/IMG_20190715_121153.marked.txt,0,18,0,18,1
174,ola/IMG_5365.marked.txt,2,16,0.11111,18,1
189,telefon/IMG_20190715_123123.marked.txt,3,14,0.17647,18,1.05882352941176
197,skazki/IMG_20190715_121126.marked.txt,11,12,0.47826,18,0.782608695652174
46,skazki/IMG_20190715_121307.marked.txt,2,45,0.04255,19,0.404255319148936
60,skazki/IMG_20190715_121314.marked.txt,1,42,0.02326,20,0.465116279069767
95,skazki/IMG_20190715_122750.marked.txt,3,35,0.07895,20,0.526315789473684
107,mdd-redmi1/06.marked.txt,3,33,0.08333,21,0.583333333333333
139,mdd-redmi1/10.marked.txt,3,25,0.10714,21,0.75
147,chudo_derevo_redmi/IMG_20190715_113010.marked.txt,4,23,0.14815,21,0.777777777777778
175,ola/IMG_5366.marked.txt,2,16,0.11111,21,1.16666666666667
8,skazki/IMG_20190715_121608.marked.txt,6,58,0.09375,22,0.34375
191,telefon/IMG_20190715_123241.marked.txt,4,14,0.22222,23,1.27777777777778
209,ola/IMG_5367.marked.txt,0,2,0,23,11.5
210,ola/IMG_5368.marked.txt,0,2,0,23,11.5
