,filename,errors count,good words count,metric,Levenshtein,Letters sum
125,skazki/IMG_20190715_122904.marked.txt,2,30,0.0625,81,210
182,chudo_derevo_redmi/IMG_20190715_113037.marked.txt,1,15,0.0625,43,103
186,telefon/IMG_20190715_123223.marked.txt,1,15,0.0625,2,98
51,skazki/IMG_20190715_121705.marked.txt,3,44,0.06383,5,316
9,skazki/IMG_20190715_121728.marked.txt,4,58,0.06452,5,383
127,skazki/IMG_20190715_121855.marked.txt,2,29,0.06452,7,201
129,skazki/IMG_20190715_122839.marked.txt,2,29,0.06452,78,200
65,skazki/IMG_20190715_121939.marked.txt,3,41,0.06818,6,286
16,skazki/IMG_20190715_121622.marked.txt,4,54,0.06897,9,361
132,chudo_derevo_redmi/IMG_20190715_113004.marked.txt,2,27,0.06897,5,169
134,chudo_derevo_redmi/IMG_20190715_112947.marked.txt,2,26,0.07143,7,170
89,skazki/IMG_20190715_121205.marked.txt,3,36,0.07692,14,234
143,chudo_derevo_redmi/IMG_20190715_113048.marked.txt,2,24,0.07692,8,187
91,mdd-redmi1/07.marked.txt,3,35,0.07895,4,245
95,skazki/IMG_20190715_122750.marked.txt,3,35,0.07895,20,235
98,skazki/IMG_20190715_121928.marked.txt,3,35,0.07895,10,243
102,skazki/IMG_20190715_122849.marked.txt,3,34,0.08108,53,256
107,mdd-redmi1/06.marked.txt,3,33,0.08333,21,215
108,mdd_cannon1/09.marked.txt,3,33,0.08333,6,228
153,telefon/IMG_20190715_123148.marked.txt,2,22,0.08333,25,159
61,skazki/IMG_20190715_121634.marked.txt,4,42,0.08696,31,299
121,skazki/IMG_20190715_122836.marked.txt,3,31,0.08824,24,230
62,ola/IMG_5200.marked.txt,4,41,0.08889,26,283
63,skazki/IMG_20190715_121433.marked.txt,4,41,0.08889,35,254
126,mdd_cannon1/11.marked.txt,3,30,0.09091,4,250
159,chudo_derevo_redmi/IMG_20190715_112958.marked.txt,2,20,0.09091,15,144
29,skazki/IMG_20190715_121251.marked.txt,5,49,0.09259,57,307
30,skazki/IMG_20190715_122500.marked.txt,5,49,0.09259,18,353
71,skazki/IMG_20190715_121625.marked.txt,4,39,0.09302,1,274
73,skazki/IMG_20190715_122507.marked.txt,4,39,0.09302,18,258
74,skazki/IMG_20190715_122518.marked.txt,4,39,0.09302,44,279
8,skazki/IMG_20190715_121608.marked.txt,6,58,0.09375,22,388
166,skazki/IMG_20190715_122829.marked.txt,2,19,0.09524,60,136
131,mdd_cannon1/10.marked.txt,3,28,0.09677,16,186
85,skazki/IMG_20190715_122232.marked.txt,4,37,0.09756,112,239
87,skazki/IMG_20190715_122854.marked.txt,4,37,0.09756,102,259
