102,skazki/IMG_20190715_122839.marked.txt,2,29,0.06452,78,200
154,uploaded/1563957317247869394114.marked.txt,1,14,0.06667,24,89
54,skazki/IMG_20190715_121939.marked.txt,3,41,0.06818,6,286
104,chudo_derevo_redmi/IMG_20190715_113004.marked.txt,2,27,0.06897,5,169
12,skazki/IMG_20190715_121622.marked.txt,4,54,0.06897,9,361
106,chudo_derevo_redmi/IMG_20190715_112947.marked.txt,2,26,0.07143,7,170
112,chudo_derevo_redmi/IMG_20190715_113048.marked.txt,2,24,0.07692,8,187
70,skazki/IMG_20190715_121205.marked.txt,3,36,0.07692,14,234
72,mdd-redmi1/07.marked.txt,3,35,0.07895,4,245
76,skazki/IMG_20190715_122750.marked.txt,3,35,0.07895,20,235
82,skazki/IMG_20190715_122849.marked.txt,3,34,0.08108,53,256
84,mdd_cannon1/09.marked.txt,3,33,0.08333,6,228
83,mdd-redmi1/06.marked.txt,3,33,0.08333,21,215
96,skazki/IMG_20190715_122836.marked.txt,3,31,0.08824,24,230
51,ola/IMG_5200.marked.txt,4,41,0.08889,26,283
52,skazki/IMG_20190715_121433.marked.txt,4,41,0.08889,35,254
124,chudo_derevo_redmi/IMG_20190715_112958.marked.txt,2,20,0.09091,15,144
26,skazki/IMG_20190715_122500.marked.txt,5,49,0.09259,18,353
25,skazki/IMG_20190715_121251.marked.txt,5,49,0.09259,57,307
57,skazki/IMG_20190715_121625.marked.txt,4,39,0.09302,1,274
59,skazki/IMG_20190715_122507.marked.txt,4,39,0.09302,18,258
60,skazki/IMG_20190715_122518.marked.txt,4,39,0.09302,44,279
7,skazki/IMG_20190715_121608.marked.txt,6,58,0.09375,22,388
131,skazki/IMG_20190715_122829.marked.txt,2,19,0.09524,60,136
69,skazki/IMG_20190715_122854.marked.txt,4,37,0.09756,102,259
67,skazki/IMG_20190715_122232.marked.txt,4,37,0.09756,112,239
134,telefon/IMG_20190715_123331.marked.txt,2,18,0.1,5,143
162,ola/IMG_5369.marked.txt,1,9,0.1,50,73
79,skazki/IMG_20190715_121208.marked.txt,4,34,0.10526,2,242
136,telefon/IMG_20190715_123208.marked.txt,2,17,0.10526,4,129
108,chudo_derevo_redmi/IMG_20190715_113026.marked.txt,3,25,0.10714,9,174
23,skazki/IMG_20190715_122504.marked.txt,6,50,0.10714,58,340
90,mdd-redmi1/09.marked.txt,4,32,0.11111,11,225
137,ola/IMG_5365.marked.txt,2,16,0.11111,18,119
138,ola/IMG_5366.marked.txt,2,16,0.11111,21,118
58,skazki/IMG_20190715_121640.marked.txt,5,39,0.11364,4,274
97,skazki/IMG_20190715_122857.marked.txt,4,31,0.11429,109,222
118,telefon/IMG_20190715_123252.marked.txt,3,23,0.11538,15,153
63,skazki/IMG_20190715_121656.marked.txt,5,38,0.11628,3,294
144,telefon/IMG_20190715_123233.marked.txt,2,15,0.11765,6,98
146,mdd-redmi1/03.marked.txt,2,14,0.125,3,106
147,mdd_cannon1/03.marked.txt,2,14,0.125,8,105
152,telefon/IMG_20190715_123426.marked.txt,2,14,0.125,53,96
149,telefon/IMG_20190715_123230.marked.txt,2,14,0.125,57,95
55,skazki/IMG_20190715_122405.marked.txt,6,41,0.12766,47,275
56,skazki/IMG_20190715_121653.marked.txt,6,40,0.13043,2,307
123,chudo_derevo_redmi/IMG_20190715_112928.marked.txt,3,20,0.13043,2,144
122,chudo_derevo_redmi/IMG_20190715_112922.marked.txt,3,20,0.13043,12,130
132,telefon/IMG_20190715_123133.marked.txt,3,19,0.13636,16,130
48,skazki/IMG_20190715_121740.marked.txt,7,42,0.14286,14,329
71,skazki/IMG_20190715_121303.marked.txt,6,36,0.14286,28,257
117,telefon/IMG_20190715_123137.marked.txt,4,23,0.14815,15,172
115,chudo_derevo_redmi/IMG_20190715_113010.marked.txt,4,23,0.14815,21,179
61,skazki/IMG_20190715_122909.marked.txt,7,39,0.15217,85,268
158,skazki/IMG_20190715_122928.marked.txt,2,11,0.15385,54,78
141,telefon/IMG_20190715_123324.marked.txt,3,16,0.15789,16,120
121,uploaded/1565540274862815619769.marked.txt,4,21,0.16,46,142
15,skazki/IMG_20190715_121034.marked.txt,10,52,0.16129,7,400
95,skazki/IMG_20190715_122826.marked.txt,6,31,0.16216,70,224
41,skazki/IMG_20190715_121335.marked.txt,9,45,0.16667,25,330
49,skazki/IMG_20190715_121747.marked.txt,9,42,0.17647,7,354
148,telefon/IMG_20190715_123123.marked.txt,3,14,0.17647,18,91
103,skazki/IMG_20190715_122913.marked.txt,7,29,0.19444,126,216
140,telefon/IMG_20190715_123258.marked.txt,4,16,0.2,10,128
130,uploaded/15650001471111035709812.marked.txt,5,20,0.2,48,123
77,skazki/IMG_20190715_122816.marked.txt,9,35,0.20455,63,270
1,skazki/IMG_20190715_121044.marked.txt,16,60,0.21053,9,548
16,skazki/IMG_20190715_121058.marked.txt,14,52,0.21212,76,407
107,skazki/IMG_20190715_122217.marked.txt,7,26,0.21212,153,204
150,telefon/IMG_20190715_123241.marked.txt,4,14,0.22222,23,107
120,skazki/IMG_20190715_121542.marked.txt,6,21,0.22222,44,177
10,skazki/IMG_20190715_121048.marked.txt,16,56,0.22222,57,464
78,skazki/IMG_20190715_122901.marked.txt,10,35,0.22222,77,292
33,skazki/IMG_20190715_121101.marked.txt,14,46,0.23333,42,446
119,skazki/IMG_20190715_122325.marked.txt,7,22,0.24138,132,168
81,skazki/IMG_20190715_122809.marked.txt,11,34,0.24444,55,261
170,uploaded/IMG_20190822_182841.marked.txt,2,6,0.25,36,53
145,telefon/IMG_20190715_123504.marked.txt,5,15,0.25,53,122
92,skazki/IMG_20190715_122819.marked.txt,11,32,0.25581,116,255
139,telefon/IMG_20190715_123156.marked.txt,6,16,0.27273,6,129
116,skazki/IMG_20190715_122803.marked.txt,9,23,0.28125,69,178
105,skazki/IMG_20190715_122812.marked.txt,11,27,0.28947,123,205
27,skazki/IMG_20190715_121114.marked.txt,20,47,0.29851,47,452
65,skazki/IMG_20190715_121436.marked.txt,17,37,0.31481,87,297
165,chudo_derevo_redmi/IMG_20190715_112912.marked.txt,4,8,0.33333,2,74
127,skazki/IMG_20190715_121019.marked.txt,10,20,0.33333,14,192
153,telefon/IMG_20190715_123542.marked.txt,7,14,0.33333,66,129
174,uploaded/1564154013064889170553.marked.txt,2,4,0.33333,87,30
159,telefon/IMG_20190715_123244.marked.txt,6,11,0.35294,28,116
169,uploaded/2378374bda87d842436936f81d442bfb.marked.txt,4,7,0.36364,62,61
156,uploaded/1564580967427104972811.marked.txt,7,12,0.36842,87,102
160,mdd-redmi1/02.marked.txt,6,10,0.375,1,120
155,telefon/IMG_20190715_123303.marked.txt,8,13,0.38095,26,122
168,skazki/IMG_20190715_121011.marked.txt,5,7,0.41667,6,71
163,telefon/IMG_20190715_123443.marked.txt,7,9,0.4375,52,98
151,telefon/IMG_20190715_123312.marked.txt,11,14,0.44,34,158
161,uploaded/1563958149299417728125.marked.txt,8,10,0.44444,41,109
166,mdd_cannon1/02.marked.txt,7,8,0.46667,10,109
173,mdd_cannon1/01crop.marked.txt,4,4,0.5,3,67
176,mdd-redmi1/01crop.marked.txt,4,3,0.57143,5,63
172,uploaded/15662872188361764114561.marked.txt,7,5,0.58333,177,63
175,uploaded/IMG_20190821_123648.marked.txt,7,4,0.63636,151,65
164,kov/648bb39e-7f24-461c-9a77-04bed24bbc2e.marked.txt,16,9,0.64,86,130
183,kov/227390e9-3e83-4883-9ecb-5d67de88584a.marked.txt,2,1,0.66667,46,12
167,kov/b026ed12-bc33-482a-89d6-88a35722935a.marked.txt,17,8,0.68,86,152
171,ang_redmi/02.marked.txt,14,5,0.73684,25,101
180,ang_redmi/01.marked.txt,7,2,0.77778,244,45
182,kov/15e4578a-2295-40ef-969a-a8e8c2c7c740.marked.txt,4,1,0.8,195,22
181,kov/0cf2b6ac-036f-429b-8b9d-405415ee5840.marked.txt,14,2,0.875,143,84
186,kov/67be06e4-753a-44ea-aa3f-665d0304ce9c.marked.txt,1,0,1,84,4
,filename,errors count,good words count,metric,Levenshtein,Letters sum
