,filename,errors count,good words count,metric,Levenshtein,Letters sum
89,mdd-redmi1/08.marked.txt,1,32,0.01818,7,230
90,mdd-redmi1/09.marked.txt,5,32,0.08475,11,269
91,mdd_cannon1/08.marked.txt,2,32,0.03704,10,229
92,skazki/IMG_20190715_122819.marked.txt,16,32,0.22222,116,313
93,skazki/IMG_20190715_121844.marked.txt,1,31,0.02222,3,210
94,skazki/IMG_20190715_122442.marked.txt,0,31,0.0,3,252
95,skazki/IMG_20190715_122826.marked.txt,15,31,0.18519,70,316
96,skazki/IMG_20190715_122836.marked.txt,5,31,0.07246,24,291
97,skazki/IMG_20190715_122857.marked.txt,10,31,0.16949,109,265
98,skazki/IMG_20190715_122516.marked.txt,7,30,0.15217,18,253
99,skazki/IMG_20190715_122904.marked.txt,8,30,0.15385,81,241
100,skazki/IMG_20190715_121855.marked.txt,4,29,0.06897,7,243
101,skazki/IMG_20190715_122434.marked.txt,3,29,0.0566,28,238
102,skazki/IMG_20190715_122839.marked.txt,8,29,0.14545,78,245
103,skazki/IMG_20190715_122913.marked.txt,15,29,0.2027,126,286
104,chudo_derevo_redmi/IMG_20190715_113004.marked.txt,2,27,0.04545,5,197
105,skazki/IMG_20190715_122812.marked.txt,16,27,0.23188,123,256
106,chudo_derevo_redmi/IMG_20190715_112947.marked.txt,4,26,0.09091,7,201
107,skazki/IMG_20190715_122217.marked.txt,20,26,0.26316,153,288
108,chudo_derevo_redmi/IMG_20190715_113026.marked.txt,4,25,0.09302,9,202
109,mdd-redmi1/05.marked.txt,0,25,0.0,1,211
110,chudo_derevo_redmi/IMG_20190715_113013.marked.txt,1,24,0.02778,6,172
111,chudo_derevo_redmi/IMG_20190715_113041.marked.txt,1,24,0.03125,15,182
112,chudo_derevo_redmi/IMG_20190715_113048.marked.txt,4,24,0.10256,8,209
113,mdd_cannon1/05.marked.txt,1,24,0.02439,3,211
114,chudo_derevo_redmi/IMG_20190715_112939.marked.txt,0,23,0.0,1,164
115,chudo_derevo_redmi/IMG_20190715_113010.marked.txt,10,23,0.20833,21,220
116,skazki/IMG_20190715_122803.marked.txt,10,23,0.16949,69,236
117,telefon/IMG_20190715_123137.marked.txt,6,23,0.13333,15,202
118,telefon/IMG_20190715_123252.marked.txt,7,23,0.14,15,192
119,skazki/IMG_20190715_122325.marked.txt,13,22,0.23214,132,222
120,skazki/IMG_20190715_121542.marked.txt,10,21,0.22727,44,210
121,uploaded/1565540274862815619769.marked.txt,9,21,0.19149,46,190
122,chudo_derevo_redmi/IMG_20190715_112922.marked.txt,6,20,0.15789,12,157
123,chudo_derevo_redmi/IMG_20190715_112928.marked.txt,3,20,0.09677,2,158
124,chudo_derevo_redmi/IMG_20190715_112958.marked.txt,5,20,0.11628,15,182
125,mdd-redmi1/04.marked.txt,2,20,0.05714,7,166
126,mdd_cannon1/04.marked.txt,2,20,0.05714,9,166
127,skazki/IMG_20190715_121019.marked.txt,26,20,0.42623,14,244
128,skazki/IMG_20190715_121157.marked.txt,2,20,0.05,6,174
129,telefon/IMG_20190715_123159.marked.txt,4,20,0.1,4,167
130,uploaded/15650001471111035709812.marked.txt,10,20,0.25,48,150
131,skazki/IMG_20190715_122829.marked.txt,5,19,0.11111,60,182
132,telefon/IMG_20190715_123133.marked.txt,4,19,0.09302,16,171
133,skazki/IMG_20190715_121153.marked.txt,1,18,0.03226,18,134
134,telefon/IMG_20190715_123331.marked.txt,3,18,0.09375,5,164
135,ola/IMG_5371.marked.txt,1,17,0.02222,10,157
136,telefon/IMG_20190715_123208.marked.txt,3,17,0.08108,4,166
137,ola/IMG_5365.marked.txt,2,16,0.04444,18,153
138,ola/IMG_5366.marked.txt,2,16,0.04545,21,150
139,telefon/IMG_20190715_123156.marked.txt,9,16,0.25714,6,152
140,telefon/IMG_20190715_123258.marked.txt,7,16,0.18919,10,159
141,telefon/IMG_20190715_123324.marked.txt,6,16,0.17143,16,153
142,telefon/IMG_20190715_123522.marked.txt,7,16,0.18421,40,166
143,chudo_derevo_redmi/IMG_20190715_113037.marked.txt,3,15,0.10714,43,126
144,telefon/IMG_20190715_123233.marked.txt,3,15,0.125,6,112
145,telefon/IMG_20190715_123504.marked.txt,8,15,0.21622,53,156
146,mdd-redmi1/03.marked.txt,2,14,0.06897,3,127
147,mdd_cannon1/03.marked.txt,2,14,0.07143,8,124
148,telefon/IMG_20190715_123123.marked.txt,4,14,0.125,18,122
149,telefon/IMG_20190715_123230.marked.txt,7,14,0.22581,57,120
150,telefon/IMG_20190715_123241.marked.txt,7,14,0.2,23,138
151,telefon/IMG_20190715_123312.marked.txt,19,14,0.40426,34,197
152,telefon/IMG_20190715_123426.marked.txt,5,14,0.17857,53,119
153,telefon/IMG_20190715_123542.marked.txt,11,14,0.35484,66,148
154,uploaded/1563957317247869394114.marked.txt,6,14,0.14286,24,137
155,telefon/IMG_20190715_123303.marked.txt,12,13,0.26667,26,168
156,uploaded/1564580967427104972811.marked.txt,11,12,0.34375,87,127
157,ola/IMG_5373.marked.txt,0,11,0.0,44,119
158,skazki/IMG_20190715_122928.marked.txt,7,11,0.24138,54,108
159,telefon/IMG_20190715_123244.marked.txt,15,11,0.41667,28,149
160,mdd-redmi1/02.marked.txt,10,10,0.30303,1,144
161,uploaded/1563958149299417728125.marked.txt,15,10,0.29412,41,164
162,ola/IMG_5369.marked.txt,1,9,0.02273,50,115
163,telefon/IMG_20190715_123443.marked.txt,16,9,0.42105,52,138
164,kov/648bb39e-7f24-461c-9a77-04bed24bbc2e.marked.txt,38,9,0.52778,86,218
165,chudo_derevo_redmi/IMG_20190715_112912.marked.txt,5,8,0.33333,2,79
166,mdd_cannon1/02.marked.txt,12,8,0.35294,10,138
167,kov/b026ed12-bc33-482a-89d6-88a35722935a.marked.txt,34,8,0.50746,86,228
168,skazki/IMG_20190715_121011.marked.txt,6,7,0.35294,6,79
169,uploaded/2378374bda87d842436936f81d442bfb.marked.txt,33,7,0.36264,62,163
170,uploaded/IMG_20190822_182841.marked.txt,7,6,0.22581,36,88
171,ang_redmi/02.marked.txt,19,5,0.48718,25,133
172,uploaded/15662872188361764114561.marked.txt,26,5,0.4127,177,154
173,mdd_cannon1/01crop.marked.txt,4,4,0.36364,3,72
174,uploaded/1564154013064889170553.marked.txt,13,4,0.33333,87,89
175,uploaded/IMG_20190821_123648.marked.txt,18,4,0.31579,151,132
176,mdd-redmi1/01crop.marked.txt,4,3,0.36364,5,69
177,ola/IMG_5367.marked.txt,2,2,0.05128,23,58
178,ola/IMG_5368.marked.txt,2,2,0.05263,23,57
179,ola/IMG_5372.marked.txt,2,2,0.05128,27,59
180,ang_redmi/01.marked.txt,25,2,0.60976,244,89
181,kov/0cf2b6ac-036f-429b-8b9d-405415ee5840.marked.txt,41,2,0.63077,143,172
182,kov/15e4578a-2295-40ef-969a-a8e8c2c7c740.marked.txt,36,1,0.48649,195,142
183,kov/227390e9-3e83-4883-9ecb-5d67de88584a.marked.txt,4,1,0.33333,46,31
184,kov/04089871-23a0-44ca-8830-581a13b03153.marked.txt,0,0,0.0,23,0
185,kov/4038914f-2515-4d39-8e28-89bd6c7b2815.marked.txt,0,0,0.0,56,0
186,kov/67be06e4-753a-44ea-aa3f-665d0304ce9c.marked.txt,15,0,0.38462,84,64
187,kov/6c4425c1-ecb1-499f-ad8a-283f802a1936.marked.txt,7,0,0.53846,96,17
188,kov/847e140b-9cca-4986-94f0-a81955dcda24.marked.txt,9,0,0.19149,58,64
