,filename,errors count,good words count,metric,Levenshtein,
68,skazki/IMG_20190715_121725.marked.txt,4,65,0.05797,3,0.043478260869565
71,skazki/IMG_20190715_122753.marked.txt,4,65,0.05797,76,1.10144927536232
27,skazki/IMG_20190715_121728.marked.txt,5,80,0.05882,5,0.058823529411765
39,skazki/IMG_20190715_121622.marked.txt,5,78,0.06024,9,0.108433734939759
80,skazki/IMG_20190715_121205.marked.txt,4,61,0.06154,14,0.215384615384615
85,skazki/IMG_20190715_122448.marked.txt,4,60,0.0625,11,0.171875
45,skazki/IMG_20190715_121625.marked.txt,5,74,0.06329,1,0.012658227848101
94,skazki/IMG_20190715_121142.marked.txt,4,58,0.06452,4,0.064516129032258
58,skazki/IMG_20190715_121705.marked.txt,5,69,0.06757,5,0.067567567567568
194,mdd-redmi1/03.marked.txt,2,27,0.06897,3,0.103448275862069
113,skazki/IMG_20190715_121855.marked.txt,4,54,0.06897,7,0.120689655172414
195,mdd_cannon1/03.marked.txt,2,26,0.07143,8,0.285714285714286
5,skazki/IMG_20190715_121240.marked.txt,7,91,0.07143,12,0.122448979591837
40,skazki/IMG_20190715_122518.marked.txt,6,77,0.07229,44,0.530120481927711
74,skazki/IMG_20190715_122836.marked.txt,5,64,0.07246,24,0.347826086956522
6,skazki/IMG_20190715_121400.marked.txt,7,89,0.07292,28,0.291666666666667
42,skazki/IMG_20190715_121656.marked.txt,6,75,0.07407,3,0.037037037037037
82,skazki/IMG_20190715_121634.marked.txt,5,61,0.07576,31,0.46969696969697
90,skazki/IMG_20190715_122431.marked.txt,5,59,0.07812,8,0.125
88,skazki/IMG_20190715_122849.marked.txt,5,59,0.07812,53,0.828125
57,skazki/IMG_20190715_121653.marked.txt,6,69,0.08,2,0.026666666666667
25,skazki/IMG_20190715_121218.marked.txt,7,80,0.08046,29,0.333333333333333
170,telefon/IMG_20190715_123208.marked.txt,3,34,0.08108,4,0.108108108108108
31,skazki/IMG_20190715_121834.marked.txt,7,79,0.0814,7,0.081395348837209
103,mdd_cannon1/09.marked.txt,5,55,0.08333,6,0.1
104,skazki/IMG_20190715_121939.marked.txt,5,55,0.08333,6,0.1
70,skazki/IMG_20190715_122742.marked.txt,6,65,0.08451,101,1.42253521126761
109,mdd-redmi1/09.marked.txt,5,54,0.08475,11,0.186440677966102
116,mdd-redmi1/06.marked.txt,5,53,0.08621,21,0.362068965517241
145,chudo_derevo_redmi/IMG_20190715_112953.marked.txt,4,42,0.08696,7,0.152173913043478
121,mdd_cannon1/10.marked.txt,5,52,0.08772,16,0.280701754385965
18,skazki/IMG_20190715_121423.marked.txt,8,83,0.08791,42,0.461538461538462
147,chudo_derevo_redmi/IMG_20190715_112947.marked.txt,4,40,0.09091,7,0.159090909090909
83,skazki/IMG_20190715_122417.marked.txt,6,60,0.09091,33,0.5
150,chudo_derevo_redmi/IMG_20190715_113026.marked.txt,4,39,0.09302,9,0.209302325581395
152,telefon/IMG_20190715_123133.marked.txt,4,39,0.09302,16,0.372093023255814
37,skazki/IMG_20190715_121251.marked.txt,8,78,0.09302,57,0.662790697674419
184,telefon/IMG_20190715_123331.marked.txt,3,29,0.09375,5,0.15625
13,skazki/IMG_20190715_121413.marked.txt,9,86,0.09474,27,0.284210526315789
