,filename,errors count,good words count,metric,Levenshtein,Letters sum
83,mdd-redmi1/06.marked.txt,5,33,0.08621,21,250
4,skazki/IMG_20190715_121423.marked.txt,8,59,0.08791,42,416
87,skazki/IMG_20190715_122417.marked.txt,6,33,0.09091,33,268
106,chudo_derevo_redmi/IMG_20190715_112947.marked.txt,4,26,0.09091,7,201
25,skazki/IMG_20190715_121251.marked.txt,8,49,0.09302,57,360
108,chudo_derevo_redmi/IMG_20190715_113026.marked.txt,4,25,0.09302,9,202
132,telefon/IMG_20190715_123133.marked.txt,4,19,0.09302,16,171
134,telefon/IMG_20190715_123331.marked.txt,3,18,0.09375,5,164
52,skazki/IMG_20190715_121433.marked.txt,9,41,0.09474,35,359
58,skazki/IMG_20190715_121640.marked.txt,6,39,0.09524,4,312
123,chudo_derevo_redmi/IMG_20190715_112928.marked.txt,3,20,0.09677,2,158
79,skazki/IMG_20190715_121208.marked.txt,6,34,0.1,2,294
129,telefon/IMG_20190715_123159.marked.txt,4,20,0.1,4,167
112,chudo_derevo_redmi/IMG_20190715_113048.marked.txt,4,24,0.10256,8,209
7,skazki/IMG_20190715_121608.marked.txt,10,58,0.10309,22,453
85,skazki/IMG_20190715_121517.marked.txt,5,33,0.10417,15,251
26,skazki/IMG_20190715_122500.marked.txt,10,49,0.10638,18,430
59,skazki/IMG_20190715_122507.marked.txt,9,39,0.10714,18,346
143,chudo_derevo_redmi/IMG_20190715_113037.marked.txt,3,15,0.10714,43,126
2,skazki/IMG_20190715_121403.marked.txt,10,60,0.1087,9,443
131,skazki/IMG_20190715_122829.marked.txt,5,19,0.11111,60,182
124,chudo_derevo_redmi/IMG_20190715_112958.marked.txt,5,20,0.11628,15,182
144,telefon/IMG_20190715_123233.marked.txt,3,15,0.125,6,112
148,telefon/IMG_20190715_123123.marked.txt,4,14,0.125,18,122
15,skazki/IMG_20190715_121034.marked.txt,12,52,0.12632,7,461
48,skazki/IMG_20190715_121740.marked.txt,10,42,0.12987,14,381
49,skazki/IMG_20190715_121747.marked.txt,12,42,0.13187,7,425
117,telefon/IMG_20190715_123137.marked.txt,6,23,0.13333,15,202
23,skazki/IMG_20190715_122504.marked.txt,13,50,0.1383,58,408
118,telefon/IMG_20190715_123252.marked.txt,7,23,0.14,15,192
154,uploaded/1563957317247869394114.marked.txt,6,14,0.14286,24,137
102,skazki/IMG_20190715_122839.marked.txt,8,29,0.14545,78,245
71,skazki/IMG_20190715_121303.marked.txt,11,36,0.14667,28,317
98,skazki/IMG_20190715_122516.marked.txt,7,30,0.15217,18,253
99,skazki/IMG_20190715_122904.marked.txt,8,30,0.15385,81,241
122,chudo_derevo_redmi/IMG_20190715_112922.marked.txt,6,20,0.15789,12,157
51,ola/IMG_5200.marked.txt,12,41,0.16216,26,335
97,skazki/IMG_20190715_122857.marked.txt,10,31,0.16949,109,265
116,skazki/IMG_20190715_122803.marked.txt,10,23,0.16949,69,236
141,telefon/IMG_20190715_123324.marked.txt,6,16,0.17143,16,153
69,skazki/IMG_20190715_122854.marked.txt,13,37,0.17568,102,320
77,skazki/IMG_20190715_122816.marked.txt,16,35,0.17778,63,356
152,telefon/IMG_20190715_123426.marked.txt,5,14,0.17857,53,119
41,skazki/IMG_20190715_121335.marked.txt,19,45,0.18095,25,425
142,telefon/IMG_20190715_123522.marked.txt,7,16,0.18421,40,166
95,skazki/IMG_20190715_122826.marked.txt,15,31,0.18519,70,316
140,telefon/IMG_20190715_123258.marked.txt,7,16,0.18919,10,159
121,uploaded/1565540274862815619769.marked.txt,9,21,0.19149,46,190
188,kov/847e140b-9cca-4986-94f0-a81955dcda24.marked.txt,9,0,0.19149,58,64
1,skazki/IMG_20190715_121044.marked.txt,19,60,0.19192,9,591
67,skazki/IMG_20190715_122232.marked.txt,17,37,0.1954,112,329
10,skazki/IMG_20190715_121048.marked.txt,23,56,0.2,57,548
81,skazki/IMG_20190715_122809.marked.txt,14,34,0.2,55,305
150,telefon/IMG_20190715_123241.marked.txt,7,14,0.2,23,138
103,skazki/IMG_20190715_122913.marked.txt,15,29,0.2027,126,286
78,skazki/IMG_20190715_122901.marked.txt,16,35,0.20513,77,358
55,skazki/IMG_20190715_122405.marked.txt,17,41,0.20732,47,339
115,chudo_derevo_redmi/IMG_20190715_113010.marked.txt,10,23,0.20833,21,220
33,skazki/IMG_20190715_121101.marked.txt,21,46,0.21212,42,522
145,telefon/IMG_20190715_123504.marked.txt,8,15,0.21622,53,156
61,skazki/IMG_20190715_122909.marked.txt,20,39,0.22222,85,344
92,skazki/IMG_20190715_122819.marked.txt,16,32,0.22222,116,313
149,telefon/IMG_20190715_123230.marked.txt,7,14,0.22581,57,120
170,uploaded/IMG_20190822_182841.marked.txt,7,6,0.22581,36,88
120,skazki/IMG_20190715_121542.marked.txt,10,21,0.22727,44,210
105,skazki/IMG_20190715_122812.marked.txt,16,27,0.23188,123,256
119,skazki/IMG_20190715_122325.marked.txt,13,22,0.23214,132,222
158,skazki/IMG_20190715_122928.marked.txt,7,11,0.24138,54,108
16,skazki/IMG_20190715_121058.marked.txt,31,52,0.25,76,517
130,uploaded/15650001471111035709812.marked.txt,10,20,0.25,48,150
139,telefon/IMG_20190715_123156.marked.txt,9,16,0.25714,6,152
107,skazki/IMG_20190715_122217.marked.txt,20,26,0.26316,153,288
155,telefon/IMG_20190715_123303.marked.txt,12,13,0.26667,26,168
65,skazki/IMG_20190715_121436.marked.txt,31,37,0.2844,87,402
161,uploaded/1563958149299417728125.marked.txt,15,10,0.29412,41,164
160,mdd-redmi1/02.marked.txt,10,10,0.30303,1,144
175,uploaded/IMG_20190821_123648.marked.txt,18,4,0.31579,151,132
165,chudo_derevo_redmi/IMG_20190715_112912.marked.txt,5,8,0.33333,2,79
174,uploaded/1564154013064889170553.marked.txt,13,4,0.33333,87,89
